"Species","Common","Category","dom_common"
"Amaranthus tricolor",NA,NA,"Joseph's-coat"
"Ananas comosus var. bracteatus",NA,NA,NA
"Ananas comosus var. microstachys",NA,NA,NA
"Anser cygnoides",NA,NA,"Swan Goose"
"Anser cygnoides domesticus",NA,NA,NA
"Apis mellifera",NA,NA,"c(""honey bee"", ""abeille domestique"")"
"Ascomycota",NA,NA,"c(""ascomiceto"", ""ascomycètes"", ""asco's"", ""ascomycetes"", ""sac fungi"")"
"Aspergillus niger",NA,NA,NA
"Aspergillus oryzae",NA,NA,NA
"Begonia x hiemalis",NA,NA,NA
"Beta vulgaris",NA,NA,"common beet"
"Beta vulgaris subsp. vulgaris",NA,NA,NA
"Bison bison",NA,NA,"c(""American bison"", ""bison"", ""Bisonte americano"", ""American Bison"")"
"Bombyx mandarina",NA,NA,NA
"Bos indicus",NA,NA,"c(""Brahma cattle"", ""zebu cattle"")"
"Bos taurus",NA,NA,"c(""aurochs"", ""domesticated cattle"", ""domestic cattle (feral)"", ""Aurochs"")"
"Brachypodium distachyon",NA,NA,"c(""purple false brome"", ""purple falsebrome"")"
"Brassica juncea",NA,NA,"c(""India mustard"", ""Chinese mustard"", ""Indian mustard"")"
"Brassica napus subsp. rapifera",NA,NA,NA
"Brassica napus var. napus",NA,NA,"c(""rape"", ""winter rape"", ""summer rape"")"
"Brassica napus var. pabularia",NA,NA,"Siberian kale"
"Brassica oleracea var. botrytis",NA,NA,"broccoli"
"Brassica oleracea var. capitata",NA,NA,"cabbage"
"Brassica rapa",NA,NA,"c(""rape mustard"", ""rape"", ""bird's rape"", ""birdsrape mustard"", ""wild mustard"", ""wild rutabaga"", ""wild turnip"", ""turnip rape"", ""field mustard"")"
"Brassica rapa Broccoletto Group",NA,NA,NA
"Brassica rapa subsp. chinensis",NA,NA,NA
"Brassica rapa subsp. dichotoma",NA,NA,NA
"Brassica rapa subsp. oleifera",NA,NA,NA
"Brassica rapa subsp. pekinensis",NA,NA,NA
"Brassica rapa subsp. trilocularis",NA,NA,NA
"Brassica rupestris",NA,NA,"mustard"
"Camelus ferus",NA,NA,NA
"Canis latrans",NA,NA,"c(""Coyote"", ""coyote"", ""Coyote"")"
"Canis lupus chanco",NA,NA,NA
"Canis lupus familiaris",NA,NA,"domestic dog"
"Canis lupus lupus",NA,NA,NA
"Canis lupus lycaon",NA,NA,NA
"Canis sp.",NA,NA,NA
"Capra hircus",NA,NA,"c(""domestic goat"", ""goat (feral)"", ""Goat"")"
"Capra ibex",NA,NA,"c(""Alpine Ibex"", ""ibex"")"
"Capra sibirica x Capra hircus",NA,NA,NA
"Capsicum frutescens",NA,NA,NA
"Carya illinoinensis",NA,NA,"c(""nuez encarcelada"", ""nogal morado"", ""pecanier"", ""pecan"")"
"Castanea dentata",NA,NA,"American chestnut"
"Castanea dentata x Castanea mollissima",NA,NA,NA
"Castanea mollissima",NA,NA,"Chinese chestnut"
"Cenchrus americanus",NA,NA,"pearl millet"
"Cercocebus atys",NA,NA,"Sooty Mangabey"
"Cervus canadensis canadensis",NA,NA,NA
"Cervus canadensis sibiricus",NA,NA,NA
"Cervus canadensis songaricus",NA,NA,NA
"Cervus elaphus",NA,NA,"c(""elk"", ""wapiti"", ""Ciervo común"", ""wapiti or elk"", ""wapiti"", ""Red Deer (see comments)"")"
"Cervus elaphus kansuensis",NA,NA,NA
"Cervus elaphus xanthopygus",NA,NA,NA
"Cervus hanglu yarkandensis",NA,NA,NA
"Cervus nippon",NA,NA,"c(""Sika deer"", ""Sika"")"
"Citrus aurantiifolia",NA,NA,NA
"Citrus aurantium",NA,NA,"sour orange"
"Citrus sinensis",NA,NA,NA
"Citrus sinensis x Citrus reticulata",NA,NA,NA
"Citrus x tangelo",NA,NA,"tangelo"
"Corchorus olitorius",NA,NA,"nalta jute"
"Corylus avellana",NA,NA,"common filbert"
"Coturnix japonica",NA,NA,"Japanese Quail"
"Cucumis sativus var. sativus",NA,NA,NA
"Cucurbita argyrosperma",NA,NA,NA
"Cucurbita moschata",NA,NA,"crookneck squash"
"Cucurbita pepo subsp. fraterna",NA,NA,NA
"Cucurbita pepo subsp. ovifera",NA,NA,NA
"Cucurbita pepo subsp. pepo",NA,NA,NA
"Cucurbita pepo var. ovifera",NA,NA,"field pumpkin"
"Cucurbita pepo var. ozarkana",NA,NA,"Ozark melon"
"Cucurbita pepo var. texana",NA,NA,"Texas gourd"
"Cyprinus carpio",NA,NA,"c(""common carp"", ""European carp"", ""carpa común"", ""carpe"")"
"Daucus carota subsp. sativus",NA,NA,NA
"Dioscorea abyssinica",NA,NA,NA
"Dioscorea alata",NA,NA,"c(""winged yam"", ""water yam"")"
"Dioscorea baya",NA,NA,NA
"Dioscorea bulbifera",NA,NA,"c(""air potato"", ""bitter yam"", ""air yam"")"
"Dioscorea praehensilis",NA,NA,"bush yam"
"Dioscorea rotundata",NA,NA,"Guinea yam"
"Dioscorea togoensis",NA,NA,NA
"Equus caballus",NA,NA,"c(""feral horse"", ""Horse"")"
"Fragaria x ananassa",NA,NA,"hybrid strawberry"
"Globodera rostochiensis",NA,NA,NA
"Glycine soja",NA,NA,"c(""wild soybean"", ""reseeding soybean"")"
"Gossypium arboreum",NA,NA,"tree cotton"
"Gossypium barbadense",NA,NA,"Creole cotton"
"Gossypium ekmanianum",NA,NA,NA
"Gossypium herbaceum",NA,NA,"Levant cotton"
"Gossypium hirsutum",NA,NA,"c(""upland cotton"", ""algodón"")"
"Gossypium hirsutum subsp. hirsutum",NA,NA,NA
"Gossypium tomentosum",NA,NA,"c(""mao"", ""Hawaiian cotton"", ""Hawai'i cotton"")"
"Helianthus annuus",NA,NA,"c(""common sunflower"", ""sunflower"", ""wild sunflower"", ""annual sunflower"")"
"Hordeum vulgare",NA,NA,"c(""common barley"", ""barley"", ""cereal barley"")"
"Hordeum vulgare subsp. vulgare",NA,NA,NA
"Humulus lupulus var. lupulus",NA,NA,"common hop"
"Leptosiphon androsaceus",NA,NA,"false babystars"
"Leptosiphon lemmonii",NA,NA,"Lemmon's linanthus"
"Leptosiphon parviflorus",NA,NA,"variable linanthus"
"Linanthus pungens",NA,NA,"granite prickly phlox"
"Linum bienne",NA,NA,"pale flax"
"Macaca mulatta",NA,NA,"c(""Rhesus Monkey"", ""Rhesus Macaque"")"
"Malus domestica",NA,NA,NA
"Malus ioensis",NA,NA,"c(""prairie crabapple"", ""prairie crab apple"")"
"Melopsittacus undulatus",NA,NA,"Budgerigar"
"Musa AAB Group",NA,NA,NA
"Musa acuminata",NA,NA,"edible banana"
"Musa acuminata AAA Group",NA,NA,NA
"Musa hybrid cultivar",NA,NA,NA
"Musa itinerans",NA,NA,NA
"Oryza rufipogon",NA,NA,"c(""wild red rice"", ""red rice"", ""brownbeard rice"")"
"Oryza sativa",NA,NA,"rice"
"Oryza sativa Indica Group",NA,NA,NA
"Oryza sativa Japonica Group",NA,NA,NA
"Ovis ammon",NA,NA,"c(""argali"", ""Argali"")"
"Ovis canadensis",NA,NA,"c(""bighorn sheep"", ""Borrego cimarrón"", ""Bighorn Sheep"")"
"Papio anubis",NA,NA,"Olive Baboon"
"Papio cynocephalus",NA,NA,"Yellow Baboon"
"Parahyaena brunnea",NA,NA,"c(""brown hyaena"", ""brown hyena"")"
"Paralichthys olivaceus",NA,NA,"c(""bastard halibut"", ""false halibut"", ""hirame"", ""olive flounder"")"
"Parthenium",NA,NA,"feverfew"
"Parthenium argentatum",NA,NA,"guayule"
"Parthenium incanum",NA,NA,"mariola"
"Paspalum vaginatum",NA,NA,"seashore paspalum"
"Persea americana",NA,NA,"avocado"
"Petunia",NA,NA,"petunia"
"Phoenix canariensis",NA,NA,"Canary Island date palm"
"Phoenix sylvestris",NA,NA,"wild date palm"
"Phoenix theophrasti",NA,NA,NA
"Phytophthora ramorum",NA,NA,NA
"Pisum sativum subsp. sativum",NA,NA,NA
"Platycladus orientalis",NA,NA,"oriental arborvitae"
"Podococcus barteri",NA,NA,NA
"Pogostemon cablin",NA,NA,"patchouli"
"Prunus cerasifera",NA,NA,"c(""myrobalan plum"", ""ciruela chabacana"", ""cherry plum"")"
"Prunus dulcis",NA,NA,"c(""sweet almond"", ""almond"", ""almendro"")"
"Prunus mira",NA,NA,NA
"Prunus mume",NA,NA,"Japanese apricot"
"Prunus tenella",NA,NA,"c(""prunus"", ""dwarf Russian almond"", ""Russian almond"")"
"Przewalskium albirostris",NA,NA,"c(""White-lipped Deer"", ""Thorold's deer"")"
"Pyrus",NA,NA,"pear"
"Rangifer tarandus",NA,NA,"c(""reindeer"", ""caribou"", ""caribou"", ""Reindeer"")"
"Rattus rattus",NA,NA,"c(""rat noir"", ""House Rat"", ""Black Rat"", ""Roof Rat"")"
"Rosa chinensis",NA,NA,"Chinese rose"
"Rucervus eldii",NA,NA,"Eld's Deer"
"Rusa unicolor",NA,NA,"Sambar"
"Saccharomyces cerevisiae x Saccharomyces eubayanus",NA,NA,NA
"Saccharomyces cerevisiae x Saccharomyces kudriavzevii",NA,NA,NA
"Saccharomyces pastorianus",NA,NA,NA
"Saccharomyces uvarum",NA,NA,NA
"Saccharomyces uvarum x Saccharomyces eubayanus",NA,NA,NA
"Salix suchowensis",NA,NA,NA
"Salmo salar",NA,NA,"c(""Atlantic salmon"", ""saumon atlantique"")"
"Salmo trutta",NA,NA,"c(""brown trout"", ""truite brune"")"
"Salvia miltiorrhiza",NA,NA,NA
"Sclerotinia sclerotiorum",NA,NA,NA
"Solanum habrochaites",NA,NA,NA
"Solanum lycopersicum var. cerasiforme",NA,NA,"garden tomato"
"Solanum pimpinellifolium",NA,NA,"currant tomato"
"Sorghum bicolor",NA,NA,"c(""broom-corn"", ""black amber"", ""chicken corn"", ""shattercane"", ""wild cane"", ""shatter cane"", ""sorghum"", ""broomcorn"")"
"Sphenostylis stenocarpa",NA,NA,"African yam bean"
"Sus scrofa domesticus",NA,NA,"domestic pig"
"Sus scrofa scrofa",NA,NA,NA
"Thamnaconus septentrionalis",NA,NA,NA
"Triticum turgidum",NA,NA,"rivet wheat"
"Triticum turgidum subsp. durum",NA,NA,NA
"Vanilla barbellata",NA,NA,"wormvine orchid"
"Vanilla dilloniana",NA,NA,"leafless vanilla"
"Vanilla imperialis",NA,NA,NA
"Vanilla odorata",NA,NA,NA
"Vanilla palmarum",NA,NA,NA
"Vanilla phaeantha",NA,NA,"leafy vanilla"
"Vanilla pompona",NA,NA,"c(""West Indian vanilla"", ""Vainilla grande"")"
"Vanilla x tahitensis",NA,NA,NA
"Vigna angularis var. angularis x Vigna nakashimae",NA,NA,NA
"Vigna unguiculata",NA,NA,"blackeyed pea"
"Vitis aestivalis",NA,NA,"summer grape"
"Vitis vinifera subsp. sylvestris",NA,NA,NA
"Zea mays subsp. mays",NA,NA,NA
